Original Format,Course Code,Course Code And Number,Course name,Course Number,Subjects
SPAN 36000 - Spanish-American Literature of the Colonial Period ,SPAN,SPAN 36000 , Spanish-American Literature of the Colonial Period ,36000 ,"Romance Languages, Division III, Spanish"
"SPAN 36200 - Spanish-American Romanticism, Realism and Naturalism ",SPAN,SPAN 36200 ," Spanish-American Romanticism, Realism and Naturalism ",36200 ,"Romance Languages, Division III, Spanish"
SPAN 36400 - Spanish-American Modernism and Post-modernism ,SPAN,SPAN 36400 , Spanish-American Modernism and Post-modernism ,36400 ,"Romance Languages, Division III, Spanish"
SPAN 36500 - Survey of Spanish-American Teatro ,SPAN,SPAN 36500 , Survey of Spanish-American Teatro ,36500 ,"Romance Languages, Division III, Spanish"
SPAN 36600 - Contemporary Latin American Poetry ,SPAN,SPAN 36600 , Contemporary Latin American Poetry ,36600 ,"Romance Languages, Division III, Spanish"
SPAN 36700 - Latin American Essay ,SPAN,SPAN 36700 , Latin American Essay ,36700 ,"Romance Languages, Division III, Spanish"
SPAN 36800 - Contemporary Latin American Narrative ,SPAN,SPAN 36800 , Contemporary Latin American Narrative ,36800 ,"Romance Languages, Division III, Spanish"
SPAN 37400 - Contemporary Literature and Film ,SPAN,SPAN 37400 , Contemporary Literature and Film ,37400 ,"Romance Languages, Division III, Spanish"
"SPAN 37600 - Time, Love and Death in Spanish Poetry from the Middle Ages to the Postmodern Age ",SPAN,SPAN 37600 ," Time, Love and Death in Spanish Poetry from the Middle Ages to the Postmodern Age ",37600 ,"Romance Languages, Division III, Spanish"
SPAN 38000 - Introduction to Translation and Interpretation Studies ,SPAN,SPAN 38000 , Introduction to Translation and Interpretation Studies ,38000 ,"Romance Languages, Division III, Spanish"
SPAN 38100 - Translation from Spanish into English ,SPAN,SPAN 38100 , Translation from Spanish into English ,38100 ,"Romance Languages, Division III, Spanish"
SPAN 38200 - Consecutive Interpretation Spanish-English/English-Spanish ,SPAN,SPAN 38200 , Consecutive Interpretation Spanish-English/English-Spanish ,38200 ,"Romance Languages, Division III, Spanish"
SPAN 38300 - Translation from English into Spanish ,SPAN,SPAN 38300 , Translation from English into Spanish ,38300 ,"Romance Languages, Division III, Spanish"
SPAN 38400 - Simultaneous Interpretation Spanish-English ,SPAN,SPAN 38400 , Simultaneous Interpretation Spanish-English ,38400 ,"Romance Languages, Division III, Spanish"
SPAN 39000 - Translation and Interpretation for the Professions ,SPAN,SPAN 39000 , Translation and Interpretation for the Professions ,39000 ,"Romance Languages, Division III, Spanish"
SPAN 39100 - Internship in Translation ,SPAN,SPAN 39100 , Internship in Translation ,39100 ,"Romance Languages, Division III, Spanish"
SPAN 39200 - Internship in Interpretation ,SPAN,SPAN 39200 , Internship in Interpretation ,39200 ,"Romance Languages, Division III, Spanish"
"SPAN 24100 - Civilization of Spain, in English ",SPAN,SPAN 24100 ," Civilization of Spain, in English ",24100 ,"Romance Languages, Division III, Spanish"
SPAN 26300 - Contemporary Spanish-American Literature in Translation ,SPAN,SPAN 26300 , Contemporary Spanish-American Literature in Translation ,26300 ,"Romance Languages, Division III, Spanish"
SPAN 26400 - Contemporary Spanish Literature in Translation ,SPAN,SPAN 26400 , Contemporary Spanish Literature in Translation ,26400 ,"Romance Languages, Division III, Spanish"
SPAN 26500 - Don Quixote (in English translation)  ,SPAN,SPAN 26500 , Don Quixote (in English translation)  ,26500 ,"Romance Languages, Division III, Spanish"
SPAN 26500 - Don Quixote in English Translation ,SPAN,SPAN 26500 , Don Quixote in English Translation ,26500 ,"Romance Languages, Division III, Spanish"
SPAN 26900 - Spanish American Women's Literature and Cinema  ,SPAN,SPAN 26900 , Spanish American Women's Literature and Cinema  ,26900 ,"Romance Languages, Division III, Spanish"
SPAN 33100 - Spanish Phonetics and Diction ,SPAN,SPAN 33100 , Spanish Phonetics and Diction ,33100 ,"Romance Languages, Division III, Spanish"
SPAN 37000 - Special Topics in Spanish Literature ,SPAN,SPAN 37000 , Special Topics in Spanish Literature ,37000 ,"Romance Languages, Division III, Spanish"
SPAN 37100 - Special Topics in Spanish- American Literature ,SPAN,SPAN 37100 , Special Topics in Spanish- American Literature ,37100 ,"Romance Languages, Division III, Spanish"
SPAN 37300 - Problems in Criticism ,SPAN,SPAN 37300 , Problems in Criticism ,37300 ,"Romance Languages, Division III, Spanish"
SPAN 37500 - Seminar in Spanish Literary History ,SPAN,SPAN 37500 , Seminar in Spanish Literary History ,37500 ,"Romance Languages, Division III, Spanish"
SPAN 39900 - Second Language Acquisition ,SPAN,SPAN 39900 , Second Language Acquisition ,39900 ,"Romance Languages, Division III, Spanish"
SPAN 49100 - Honors Course in Spanish: Special Studies in Contemporary Latin American Literature ,SPAN,SPAN 49100 , Honors Course in Spanish: Special Studies in Contemporary Latin American Literature ,49100 ,"Romance Languages, Division III, Spanish"
SPAN 49200 - Honors Course in Spanish: Special Studies in Spanish Literature ,SPAN,SPAN 49200 , Honors Course in Spanish: Special Studies in Spanish Literature ,49200 ,"Romance Languages, Division III, Spanish"
SPAN 49500 - Independent Study in Hispanic Literature ,SPAN,SPAN 49500 , Independent Study in Hispanic Literature ,49500 ,"Romance Languages, Division III, Spanish"
PORT 10100 - Elementary Portuguese I ,PORT,PORT 10100 , Elementary Portuguese I ,10100 ,Portuguese
PORT 10200 - Elementary Portuguese II ,PORT,PORT 10200 , Elementary Portuguese II ,10200 ,Portuguese
PORT 20100 - Intermediate Portuguese I ,PORT,PORT 20100 , Intermediate Portuguese I ,20100 ,Portuguese
PORT 20200 - Intermediate Portuguese II ,PORT,PORT 20200 , Intermediate Portuguese II ,20200 ,Portuguese
POL 10100 - Elementary Polish ,POL,POL 10100 , Elementary Polish ,10100 ,Russian and Slavic Studies
POL 10200 - Elementary Polish ,POL,POL 10200 , Elementary Polish ,10200 ,Russian and Slavic Studies
POL 20100 - Intermediate Polish I ,POL,POL 20100 , Intermediate Polish I ,20100 ,Russian and Slavic Studies
POL 20200 - Intermediate Polish II ,POL,POL 20200 , Intermediate Polish II ,20200 ,Russian and Slavic Studies
POL 25000 - Topics in Polish Literature ,POL,POL 25000 , Topics in Polish Literature ,25000 ,Russian and Slavic Studies
POL 30000 - Independent Study in Polish Language and Literature ,POL,POL 30000 , Independent Study in Polish Language and Literature ,30000 ,Russian and Slavic Studies
RUSS 10100 - Elementary Russian ,RUSS,RUSS 10100 , Elementary Russian ,10100 ,Russian and Slavic Studies
RUSS 10200 - Elementary Russian ,RUSS,RUSS 10200 , Elementary Russian ,10200 ,Russian and Slavic Studies
RUSS 10300 - Elementary Russian for Heritage Speakers (Intensive) ,RUSS,RUSS 10300 , Elementary Russian for Heritage Speakers (Intensive) ,10300 ,Russian and Slavic Studies
RUSS 20100 - Intermediate Russian I ,RUSS,RUSS 20100 , Intermediate Russian I ,20100 ,Russian and Slavic Studies
RUSS 20200 - Intermediate Russian II ,RUSS,RUSS 20200 , Intermediate Russian II ,20200 ,Russian and Slavic Studies
RUSS 20300 - Intermediate Russian for Heritage Speakers (Intensive) ,RUSS,RUSS 20300 , Intermediate Russian for Heritage Speakers (Intensive) ,20300 ,Russian and Slavic Studies
RUSS 21500 - Translating Culture: Introduction to Theory and Practice of Translation ,RUSS,RUSS 21500 , Translating Culture: Introduction to Theory and Practice of Translation ,21500 ,Russian and Slavic Studies
RUSS 39900 - Second Language Acquisition ,RUSS,RUSS 39900 , Second Language Acquisition ,39900 ,Russian and Slavic Studies
RUSS 49800 - Internship in Russian and Slavic Studies ,RUSS,RUSS 49800 , Internship in Russian and Slavic Studies ,49800 ,Russian and Slavic Studies
RUSS 30100 - Advanced Russian I ,RUSS,RUSS 30100 , Advanced Russian I ,30100 ,Russian and Slavic Studies
RUSS 30200 - Advanced Russian II ,RUSS,RUSS 30200 , Advanced Russian II ,30200 ,Russian and Slavic Studies
RUSS 31200 - Advanced Russian Conversation I ,RUSS,RUSS 31200 , Advanced Russian Conversation I ,31200 ,Russian and Slavic Studies
RUSS 31300 - Advanced Russian Conversation II ,RUSS,RUSS 31300 , Advanced Russian Conversation II ,31300 ,Russian and Slavic Studies
RUSS 31400 - Reading Russian I ,RUSS,RUSS 31400 , Reading Russian I ,31400 ,Russian and Slavic Studies
RUSS 31500 - Reading Russian II ,RUSS,RUSS 31500 , Reading Russian II ,31500 ,Russian and Slavic Studies
RUSS 31700 - Practical Aspects of Translation ,RUSS,RUSS 31700 , Practical Aspects of Translation ,31700 ,Russian and Slavic Studies
RUSS 31800 - Advanced Translation ,RUSS,RUSS 31800 , Advanced Translation ,31800 ,Russian and Slavic Studies
RUSS 31900 - Business Russian ,RUSS,RUSS 31900 , Business Russian ,31900 ,Russian and Slavic Studies
RUSS 24500 - Russian Folklore: Slavic Myths and Traditions ,RUSS,RUSS 24500 , Russian Folklore: Slavic Myths and Traditions ,24500 ,Russian and Slavic Studies
RUSS 24600 - Special Topics in Slavic Literature and Cultures ,RUSS,RUSS 24600 , Special Topics in Slavic Literature and Cultures ,24600 ,Russian and Slavic Studies
RUSS 32100 - Russian Short Story and Novella ,RUSS,RUSS 32100 , Russian Short Story and Novella ,32100 ,Russian and Slavic Studies
RUSS 32200 - Classical Russian Poetry ,RUSS,RUSS 32200 , Classical Russian Poetry ,32200 ,Russian and Slavic Studies
RUSS 32300 - Modern Russian Poetry ,RUSS,RUSS 32300 , Modern Russian Poetry ,32300 ,Russian and Slavic Studies
RUSS 32400 - Literature of Kievan Rus' and Early Russian Literature through the Age of Classicism ,RUSS,RUSS 32400 , Literature of Kievan Rus' and Early Russian Literature through the Age of Classicism ,32400 ,Russian and Slavic Studies
RUSS 34000 - 19th Century Russian Literature ,RUSS,RUSS 34000 , 19th Century Russian Literature ,34000 ,Russian and Slavic Studies
RUSS 34100 - Tolstoy and Dostoevsky ,RUSS,RUSS 34100 , Tolstoy and Dostoevsky ,34100 ,Russian and Slavic Studies
RUSS 34200 - Modern Russian Literature ,RUSS,RUSS 34200 , Modern Russian Literature ,34200 ,Russian and Slavic Studies
RUSS 34300 - Russian Theater ,RUSS,RUSS 34300 , Russian Theater ,34300 ,Russian and Slavic Studies
RUSS 34400 - The Silver Age of Russian Literature ,RUSS,RUSS 34400 , The Silver Age of Russian Literature ,34400 ,Russian and Slavic Studies
RUSS 36000 - Russian Women Writers ,RUSS,RUSS 36000 , Russian Women Writers ,36000 ,Russian and Slavic Studies
RUSS 49100 - Honors Project ,RUSS,RUSS 49100 , Honors Project ,49100 ,Russian and Slavic Studies
RUSS 15500 - The Culture of Old Russia ,RUSS,RUSS 15500 , The Culture of Old Russia ,15500 ,Russian and Slavic Studies
RUSS 15600 - Culture of Imperial Russia: the Age of Empresses ,RUSS,RUSS 15600 , Culture of Imperial Russia: the Age of Empresses ,15600 ,Russian and Slavic Studies
RUSS 15700 - The Age of the Great Masters ,RUSS,RUSS 15700 , The Age of the Great Masters ,15700 ,Russian and Slavic Studies
RUSS 15800 - Contemporary Russian Culture ,RUSS,RUSS 15800 , Contemporary Russian Culture ,15800 ,Russian and Slavic Studies
RUSS 25000 - 19th Century Russian Literature in English Translation  ,RUSS,RUSS 25000 , 19th Century Russian Literature in English Translation  ,25000 ,Russian and Slavic Studies
RUSS 25100 - Tolstoy and Dostoevsky in English Translation  ,RUSS,RUSS 25100 , Tolstoy and Dostoevsky in English Translation  ,25100 ,Russian and Slavic Studies
RUSS 25200 - Modern Russian Literature in English Translation  ,RUSS,RUSS 25200 , Modern Russian Literature in English Translation  ,25200 ,Russian and Slavic Studies
RUSS 25300 - Russian Theater in English Translation  ,RUSS,RUSS 25300 , Russian Theater in English Translation  ,25300 ,Russian and Slavic Studies
RUSS 25400 - The Silver Age of Russian Literature in English Translation  ,RUSS,RUSS 25400 , The Silver Age of Russian Literature in English Translation  ,25400 ,Russian and Slavic Studies
"RUSS 25500 - Russian Folklore, in Translation  ",RUSS,RUSS 25500 ," Russian Folklore, in Translation  ",25500 ,Russian and Slavic Studies
RUSS 25600 - Special Topics in Slavic Literatures and Cultures in English Translation ,RUSS,RUSS 25600 , Special Topics in Slavic Literatures and Cultures in English Translation ,25600 ,Russian and Slavic Studies
RUSS 25700 - Masterpieces of Russian Literature in English Translation ,RUSS,RUSS 25700 , Masterpieces of Russian Literature in English Translation ,25700 ,Russian and Slavic Studies
RUSS 25800 - Masterpieces of Russian Literature in English Translation ,RUSS,RUSS 25800 , Masterpieces of Russian Literature in English Translation ,25800 ,Russian and Slavic Studies
RUSS 25900 - Masterpieces of Russian Literature in English Translation ,RUSS,RUSS 25900 , Masterpieces of Russian Literature in English Translation ,25900 ,Russian and Slavic Studies
RUSS 26000 - Russian Women Writers in English Translation  ,RUSS,RUSS 26000 , Russian Women Writers in English Translation  ,26000 ,Russian and Slavic Studies
RUSS 27000 - Soviet and Post-Soviet Cinema and Society  ,RUSS,RUSS 27000 , Soviet and Post-Soviet Cinema and Society  ,27000 ,Russian and Slavic Studies
RUSS 27100 - East European Cinema  ,RUSS,RUSS 27100 , East European Cinema  ,27100 ,Russian and Slavic Studies
RUSS 29300 - Folklore in Translation: A Comparative Study ,RUSS,RUSS 29300 , Folklore in Translation: A Comparative Study ,29300 ,Russian and Slavic Studies
RUSS 29400 - Folklore and Literature  ,RUSS,RUSS 29400 , Folklore and Literature  ,29400 ,Russian and Slavic Studies
RUSS 29500 - The Vampire in Lore and Literature  ,RUSS,RUSS 29500 , The Vampire in Lore and Literature  ,29500 ,Russian and Slavic Studies
RUSS 29600 - Vladimir Nabokov Between Two Cultures ,RUSS,RUSS 29600 , Vladimir Nabokov Between Two Cultures ,29600 ,Russian and Slavic Studies
RUSS 29700 - The Russian Urban Novel in English Translation  ,RUSS,RUSS 29700 , The Russian Urban Novel in English Translation  ,29700 ,Russian and Slavic Studies
RUSS 37000 - Independent Study in Slavic Literatures and Cultures ,RUSS,RUSS 37000 , Independent Study in Slavic Literatures and Cultures ,37000 ,Russian and Slavic Studies
UKR 30000 - Independent Study in Ukrainian Language and Literature ,UKR,UKR 30000 , Independent Study in Ukrainian Language and Literature ,30000 ,Russian and Slavic Studies
SCI 20000 - Introduction to Biomedical Research ,SCI,SCI 20000 , Introduction to Biomedical Research ,20000 ,Sciences and Mathematics
SCI 30200 - Ethical Conduct in the Natural and Physical Sciences ,SCI,SCI 30200 , Ethical Conduct in the Natural and Physical Sciences ,30200 ,Sciences and Mathematics
SOSCI 29700 - Special Topics in the Social Sciences ,SOSCI,SOSCI 29700 , Special Topics in the Social Sciences ,29700 ,Sociology
SOSCI 39700 - Studies in the Social Sciences ,SOSCI,SOSCI 39700 , Studies in the Social Sciences ,39700 ,Sociology
SOSCI 49800 - Internship ,SOSCI,SOSCI 49800 , Internship ,49800 ,Sociology
SOC 10100 - Introduction to Sociology ,SOC,SOC 10100 , Introduction to Sociology ,10100 ,Sociology
SOC 20100 - The Family ,SOC,SOC 20100 , The Family ,20100 ,Sociology
SOC 20300 - Education ,SOC,SOC 20300 , Education ,20300 ,Sociology
SOC 20500 - Sociology of Religion ,SOC,SOC 20500 , Sociology of Religion ,20500 ,Sociology
